epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
83,916.977,0.5162,0.33303,0.02779,0.00703,1,0.96749,0.99289,0.93152,0.43849,0.17798,0.0286,0.00395,0.00114778,0.00114778,0.00114778
84,928.52,0.46663,0.23562,0.02452,0.00423,0.99694,0.95161,0.99302,0.93041,0.43776,0.18882,0.02817,0.00365,0.00113065,0.00113065,0.00113065
85,939.102,0.52725,0.30052,0.02506,0.00919,0.96862,0.99564,0.99308,0.92895,0.42187,0.17658,0.02705,0.00312,0.00111348,0.00111348,0.00111348
86,949.797,0.48755,0.29196,0.02403,0.00378,0.99885,0.98387,0.99412,0.93037,0.43228,0.17245,0.02751,0.00332,0.00109628,0.00109628,0.00109628
87,961.963,0.51404,0.25946,0.02604,0.00641,0.9673,0.98387,0.99278,0.90253,0.49334,0.20758,0.0293,0.0035,0.00107906,0.00107906,0.00107906
88,973.974,0.53886,0.33591,0.02594,0.00789,1,0.98206,0.99412,0.90844,0.44788,0.16219,0.02895,0.00351,0.00106181,0.00106181,0.00106181
89,985.048,0.52802,0.30753,0.02726,0.00959,1,0.9676,0.99346,0.91028,0.4626,0.17317,0.03003,0.00306,0.00104455,0.00104455,0.00104455
90,995.227,0.55051,0.35241,0.02921,0.01155,0.99754,0.95161,0.99302,0.89472,0.52384,0.18531,0.03136,0.00423,0.00102728,0.00102728,0.00102728
91,1005.45,0.5054,0.27091,0.0266,0.0077,1,0.96448,0.99279,0.91057,0.48603,0.20062,0.03042,0.00409,0.00101,0.00101,0.00101
92,1015.56,0.54384,0.31405,0.02482,0.00736,0.99757,0.95161,0.99244,0.91007,0.51556,0.18368,0.0314,0.00397,0.000992722,0.000992722,0.000992722
93,1026.04,0.49934,0.30345,0.02351,0.00572,0.9979,0.95161,0.99245,0.91212,0.45469,0.2462,0.02856,0.00399,0.000975449,0.000975449,0.000975449
94,1036.46,0.51486,0.25057,0.02624,0.01004,1,0.9657,0.99008,0.91565,0.47808,0.22095,0.02853,0.00365,0.000958187,0.000958187,0.000958187
95,1046.69,0.48321,0.31437,0.02787,0.01097,0.98383,0.98138,0.98977,0.92286,0.44504,0.22804,0.02686,0.00337,0.000940941,0.000940941,0.000940941
96,1056.78,0.51528,0.2821,0.02787,0.00852,0.98969,0.98387,0.98961,0.91685,0.42359,0.22639,0.02728,0.00357,0.000923716,0.000923716,0.000923716
97,1066.82,0.52444,0.34839,0.02874,0.00401,0.96769,0.96605,0.99127,0.91496,0.43856,0.21786,0.02805,0.00319,0.000906517,0.000906517,0.000906517
98,1076.84,0.49651,0.28898,0.02622,0.00807,1,0.95003,0.98976,0.91742,0.4287,0.26352,0.02937,0.00309,0.000889349,0.000889349,0.000889349
99,1087.05,0.5432,0.32631,0.02541,0.01134,0.9981,0.95161,0.98757,0.91232,0.44651,0.26978,0.02987,0.00337,0.000872219,0.000872219,0.000872219
