epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
94,422.907,0.44874,0.29727,0.03008,0.00268,0.94845,1,0.9925,0.92505,0.43207,0.37982,0.03397,0.00278,0.000958187,0.000958187,0.000958187
95,427.762,0.43143,0.29953,0.02867,0.00208,0.96869,0.99815,0.99279,0.90972,0.50685,0.18413,0.03516,0.00245,0.000940941,0.000940941,0.000940941
96,432.395,0.41248,0.25378,0.02777,0.00215,0.98413,1,0.99437,0.91822,0.47001,0.16864,0.0353,0.00256,0.000923716,0.000923716,0.000923716
97,437.339,0.46679,0.33171,0.02777,0.00233,0.98208,1,0.99452,0.9061,0.48212,0.16047,0.03548,0.00303,0.000906517,0.000906517,0.000906517
98,442.103,0.42647,0.28865,0.02627,0.00206,0.99316,1,0.995,0.92584,0.45521,0.16123,0.03483,0.00372,0.000889349,0.000889349,0.000889349
99,446.853,0.37388,0.28162,0.03035,0.00235,1,0.99931,0.995,0.92856,0.46055,0.14411,0.03473,0.00421,0.000872219,0.000872219,0.000872219
100,451.403,0.43533,0.25259,0.02856,0.0023,0.98168,1,0.99452,0.9274,0.46884,0.16286,0.03503,0.00656,0.00085513,0.00085513,0.00085513
101,455.707,0.42893,0.28751,0.02861,0.00221,1,0.98222,0.99469,0.93254,0.45117,0.16523,0.03437,0.00363,0.000838088,0.000838088,0.000838088
102,460.084,0.42047,0.27102,0.02682,0.00349,0.98039,1,0.99452,0.92359,0.44374,0.15765,0.03394,0.00264,0.000821099,0.000821099,0.000821099
103,464.492,0.41239,0.26328,0.02485,0.00201,0.99686,1,0.995,0.92488,0.46047,0.14863,0.0336,0.00366,0.000804167,0.000804167,0.000804167
104,468.934,0.40194,0.24738,0.0246,0.00185,0.98285,1,0.99452,0.9297,0.43632,0.14873,0.03306,0.00302,0.000787298,0.000787298,0.000787298
105,473.423,0.44476,0.28854,0.02767,0.00173,1,0.94765,0.99286,0.93123,0.42876,0.17266,0.03245,0.00259,0.000770497,0.000770497,0.000770497
106,477.72,0.4331,0.30813,0.02737,0.00237,0.96567,0.98387,0.99344,0.9346,0.4272,0.1652,0.03232,0.00248,0.000753769,0.000753769,0.000753769
107,482.01,0.43362,0.36353,0.02835,0.00189,0.95782,0.96774,0.99098,0.92215,0.43901,0.19949,0.03276,0.00268,0.000737119,0.000737119,0.000737119
108,486.572,0.37044,0.25508,0.0268,0.00168,0.95372,0.9972,0.99292,0.93191,0.45089,0.1726,0.03305,0.00329,0.000720552,0.000720552,0.000720552
109,491.02,0.43741,0.30734,0.02877,0.00222,0.96507,0.96774,0.9912,0.9197,0.45983,0.19565,0.03272,0.00395,0.000704073,0.000704073,0.000704073
110,495.655,0.37434,0.25302,0.02674,0.00216,0.99678,0.98387,0.99425,0.9223,0.46276,0.17189,0.03272,0.00413,0.000687688,0.000687688,0.000687688
111,500.223,0.41476,0.29786,0.03006,0.00212,0.99634,0.98387,0.99484,0.9211,0.45521,0.15498,0.03247,0.0033,0.0006714,0.0006714,0.0006714
112,504.624,0.41908,0.25867,0.02778,0.00199,1,0.98341,0.99484,0.93401,0.43178,0.14662,0.03228,0.00292,0.000655216,0.000655216,0.000655216
113,508.708,0.41909,0.27582,0.0218,0.00204,1,0.99651,0.995,0.92202,0.43201,0.23651,0.03225,0.00319,0.000639139,0.000639139,0.000639139
114,512.847,0.4138,0.27357,0.02404,0.00239,0.99581,1,0.995,0.91457,0.46283,0.24681,0.03291,0.00369,0.000623176,0.000623176,0.000623176
115,517.232,0.38838,0.26368,0.02662,0.0019,0.99546,1,0.995,0.91043,0.45584,0.25217,0.0331,0.00324,0.000607331,0.000607331,0.000607331
116,521.655,0.45146,0.28666,0.02442,0.00241,0.98411,0.99908,0.99405,0.91736,0.454,0.25891,0.03272,0.00303,0.000591608,0.000591608,0.000591608
117,525.784,0.35162,0.25538,0.02211,0.0018,0.99731,1,0.995,0.9145,0.45545,0.19939,0.032,0.00352,0.000576013,0.000576013,0.000576013
118,530.009,0.37344,0.28043,0.02443,0.00193,1,0.99802,0.995,0.9186,0.45521,0.15406,0.03223,0.00322,0.000560549,0.000560549,0.000560549
119,534.09,0.36535,0.25882,0.02705,0.00207,1,0.98214,0.99484,0.9216,0.45597,0.16336,0.03167,0.00323,0.000545223,0.000545223,0.000545223
120,538.369,0.4169,0.29865,0.03004,0.00168,1,0.99652,0.995,0.92573,0.44019,0.15185,0.0315,0.00338,0.000530038,0.000530038,0.000530038
121,542.779,0.38131,0.27256,0.02706,0.00143,0.99759,1,0.995,0.93013,0.4512,0.14712,0.03163,0.00398,0.000515,0.000515,0.000515
122,547.027,0.41551,0.30257,0.02965,0.00207,1,0.983,0.99469,0.92842,0.45549,0.15674,0.03113,0.00407,0.000500112,0.000500112,0.000500112
