epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
115,3305.65,0.52276,0.30973,0.02427,0.01046,0.99714,0.96774,0.99362,0.92918,0.39908,0.15733,0.02886,0.00381,0.000607331,0.000607331,0.000607331
116,3332.35,0.5264,0.33176,0.02683,0.00443,0.96712,0.96774,0.99106,0.91689,0.39424,0.19385,0.02878,0.00316,0.000591608,0.000591608,0.000591608
117,3359.29,0.49546,0.28944,0.02574,0.00694,1,0.99606,0.995,0.92976,0.39138,0.13745,0.02767,0.0046,0.000576013,0.000576013,0.000576013
118,3394.12,0.50794,0.29152,0.02288,0.01097,0.98382,0.98054,0.99341,0.92557,0.37592,0.16115,0.02628,0.00372,0.000560549,0.000560549,0.000560549
119,3422.92,0.47239,0.29904,0.02785,0.00986,0.98117,0.96774,0.99099,0.92742,0.37669,0.20956,0.02706,0.00268,0.000545223,0.000545223,0.000545223
120,3453.35,0.46463,0.2733,0.02213,0.0051,0.98223,0.98387,0.99436,0.94305,0.36213,0.15679,0.02531,0.00277,0.000530038,0.000530038,0.000530038
121,3479.94,0.48988,0.29955,0.0237,0.00538,0.96875,0.99987,0.9939,0.93696,0.38002,0.17788,0.0249,0.00243,0.000515,0.000515,0.000515
122,3506.33,0.47233,0.27278,0.02568,0.00751,0.97236,0.98387,0.99388,0.92984,0.37151,0.18004,0.02452,0.00242,0.000500112,0.000500112,0.000500112
123,3533.04,0.46676,0.25063,0.02186,0.01381,0.98815,0.96774,0.99436,0.93225,0.3844,0.16617,0.02546,0.00251,0.00048538,0.00048538,0.00048538
124,3559.47,0.47839,0.27958,0.02532,0.00706,0.99377,1,0.995,0.92877,0.39742,0.16615,0.02596,0.00276,0.000470807,0.000470807,0.000470807
125,3586.47,0.49396,0.3287,0.02635,0.00947,0.9978,0.96774,0.98776,0.91942,0.3951,0.19019,0.02533,0.00316,0.000456399,0.000456399,0.000456399
126,3617.95,0.49875,0.31188,0.02382,0.00825,0.99264,0.98387,0.99484,0.92134,0.39479,0.16264,0.02624,0.00283,0.000442159,0.000442159,0.000442159
127,3648.51,0.50293,0.29125,0.02783,0.00617,0.96519,1,0.99406,0.91634,0.3973,0.16139,0.0266,0.00277,0.000428093,0.000428093,0.000428093
128,3676.73,0.486,0.32292,0.02198,0.01896,0.98334,1,0.99484,0.92538,0.37076,0.13456,0.02611,0.0028,0.000414203,0.000414203,0.000414203
129,3704.14,0.52714,0.28337,0.02651,0.00494,0.99826,0.96774,0.99436,0.9366,0.36939,0.14633,0.02588,0.00302,0.000400495,0.000400495,0.000400495
130,3730.89,0.47689,0.25582,0.02669,0.00784,0.98408,0.99689,0.99484,0.93255,0.3758,0.14327,0.02627,0.00326,0.000386973,0.000386973,0.000386973
131,3757.64,0.4428,0.24144,0.0221,0.00354,0.99952,0.96774,0.99318,0.94153,0.36538,0.16173,0.02628,0.00301,0.00037364,0.00037364,0.00037364
132,3784.33,0.42942,0.23631,0.02634,0.01083,0.9995,0.96774,0.99362,0.93807,0.37338,0.14994,0.02651,0.003,0.000360502,0.000360502,0.000360502
133,3810.98,0.48891,0.3007,0.02554,0.01113,1,0.96563,0.99302,0.94604,0.36656,0.16385,0.02631,0.00312,0.000347561,0.000347561,0.000347561
134,3837.75,0.48643,0.30529,0.02671,0.01035,1,0.99819,0.995,0.93865,0.3804,0.13008,0.02661,0.00384,0.000334822,0.000334822,0.000334822
135,3870.91,0.45607,0.22716,0.0286,0.00728,0.9841,0.99858,0.99484,0.94044,0.38291,0.13936,0.02688,0.00395,0.000322288,0.000322288,0.000322288
136,3898.99,0.42211,0.22763,0.02496,0.00365,0.98409,0.99772,0.99405,0.94042,0.38661,0.14222,0.02681,0.00337,0.000309964,0.000309964,0.000309964
137,3929.32,0.47528,0.2796,0.02403,0.00324,0.98412,0.99974,0.99452,0.93816,0.39062,0.13641,0.02677,0.00327,0.000297854,0.000297854,0.000297854
138,3955.99,0.41853,0.2629,0.02379,0.00607,0.98408,0.99682,0.99373,0.93728,0.3742,0.14675,0.02664,0.00322,0.00028596,0.00028596,0.00028596
139,3982.95,0.47171,0.27918,0.02486,0.00481,0.97672,0.98387,0.9942,0.93986,0.37331,0.16407,0.02664,0.00321,0.000274287,0.000274287,0.000274287
140,4009.29,0.45048,0.27601,0.02384,0.01162,1,0.96988,0.99469,0.94078,0.37613,0.19484,0.02678,0.0031,0.000262838,0.000262838,0.000262838
141,4035.61,0.4258,0.20771,0.02447,0.00678,0.97916,1,0.99437,0.94607,0.38646,0.16337,0.027,0.0029,0.000251616,0.000251616,0.000251616
142,4062.14,0.52018,0.30438,0.02811,0.00804,0.99283,0.98387,0.99425,0.93264,0.38643,0.23074,0.02665,0.00275,0.000240625,0.000240625,0.000240625
143,4091.63,0.46333,0.27522,0.02418,0.00734,1,0.99043,0.995,0.93759,0.38398,0.182,0.02773,0.00265,0.000229869,0.000229869,0.000229869
144,4123.33,0.47602,0.25681,0.02514,0.0043,0.9512,1,0.99292,0.93546,0.37594,0.17771,0.02841,0.00284,0.000219351,0.000219351,0.000219351
145,4152.4,0.45026,0.25048,0.02503,0.00713,0.98032,0.98387,0.99325,0.9388,0.37411,0.18049,0.02821,0.00275,0.000209073,0.000209073,0.000209073
